Age,Gender,Marital Status,Occupation,Monthly Income,Educational Qualifications,Family size,Medium,restaurant type,Order Time,Meal,Perference,Ease and convenient,avg cost (two people),order_hour_of_day,days_since_prior_order,Cities
22,Female,Single,Student,No Income,Post Graduate,5,Zomato,Quick Bites,Anytime (Mon-Sun),Snacks,Non Veg foods (Lunch / Dinner),Agree,300,15,30,Tier 1
23,Male,Single,Student,Below Rs.10000,Post Graduate,2,Zomato,"Bar, Casual Dining",Weekend (Sat & Sun),Lunch,Non Veg foods (Lunch / Dinner),Strongly agree,1500,10,30,Tier 2
23,Male,Single,Student,No Income,Post Graduate,5,ONDC,Fine Dining,Weekend (Sat & Sun),Snacks,Non Veg foods (Lunch / Dinner),Agree,2000,12,2,Tier 2
21,Male,Single,Student,No Income,,4,Zomato,Casual Dining,Weekend (Sat & Sun),Dinner,Non Veg foods (Lunch / Dinner),Agree,800,17,18,Tier 1
23,Female,Single,Self Employeed,10001 to 25000,Post Graduate,,Swiggy,Bar,,Snacks,Non Veg foods (Lunch / Dinner),Agree,1400,19,6,Tier 1
24,Female,Single,Student,No Income,Post Graduate,6,Swiggy,Cafe,Anytime (Mon-Sun),Lunch,Non Veg foods (Lunch / Dinner),Strongly agree,900,15,30,Tier 1
28,Female,Single,Employee,25001 to 50000,Post Graduate,2,ONDC,Casual Dining,Anytime (Mon-Sun),Dinner,Veg foods (Breakfast / Lunch / Dinner),Neutral,600,10,30,Tier 1
23,Female,Single,Student,No Income,Graduate,3,Zomato,Cafe,Anytime (Mon-Sun),Lunch,Non Veg foods (Lunch / Dinner),Agree,550,11,6,Tier 1
25,Male,Single,Student,No Income,,4,Zomato,Casual Dining,Anytime (Mon-Sun),Lunch,Non Veg foods (Lunch / Dinner),Strongly agree,1000,15,5,Tier 3
21,Female,Single,Student,Below Rs.10000,Post Graduate,1,Zomato,Cafe,Anytime (Mon-Sun),Dinner,Veg foods (Breakfast / Lunch / Dinner),,400,13,30,Tier 3
24,Male,Single,,No Income,Post Graduate,3,Swiggy,Quick Bites,Weekend (Sat & Sun),Dinner,Non Veg foods (Lunch / Dinner),Agree,200,12,30,Tier 1
22,Male,Single,Student,No Income,Post Graduate,4,Swiggy,"Casual Dining, Bar",Anytime (Mon-Sun),Snacks,Non Veg foods (Lunch / Dinner),Strongly agree,2500,21,21,Tier 3
22,Female,Single,Student,No Income,Graduate,4,Swiggy,Takeaway,Weekdays (Mon-Fri),Dinner,Non Veg foods (Lunch / Dinner),Agree,800,16,30,Tier 3
23,Male,Single,Student,No Income,Graduate,4,Swiggy,Casual Dining,Weekdays (Mon-Fri),Lunch,Veg foods (Breakfast / Lunch / Dinner),Agree,600,10,30,Tier 2
21,Male,Single,Student,Below Rs.10000,Post Graduate,3,Zomato,"Casual Dining, Bar",Anytime (Mon-Sun),Breakfast,Non Veg foods (Lunch / Dinner),Strongly agree,1400,18,0,Tier 3
25,Male,Single,Student,No Income,Post Graduate,3,Swiggy,"Casual Dining, Bar",Anytime (Mon-Sun),Dinner,Veg foods (Breakfast / Lunch / Dinner),,1000,10,30,Tier 1
22,Female,Single,Student,No Income,Post Graduate,5,Swiggy,Casual Dining,Anytime (Mon-Sun),Lunch,Non Veg foods (Lunch / Dinner),Agree,1000,17,4,Tier 2
22,Male,Single,Student,No Income,Post Graduate,3,Swiggy,Casual Dining,Anytime (Mon-Sun),Snacks,Non Veg foods (Lunch / Dinner),Agree,1000,17,11,
23,Female,Single,Employee,10001 to 25000,Graduate,3,Swiggy,Takeaway,Weekend (Sat & Sun),Snacks,Desert Parlor items (snacks),Neutral,700,17,8,Tier 1
22,Male,Single,Student,,Post Graduate,4,Swiggy,Cafe,Weekend (Sat & Sun),Snacks,Veg foods (Breakfast / Lunch / Dinner),Strongly disagree,800,19,6,Tier 1
22,Female,Single,Employee,10001 to 25000,Graduate,5,Swiggy,Fine Dining,Weekend (Sat & Sun),Lunch,Non Veg foods (Lunch / Dinner),Agree,3000,10,30,Tier 1
22,Male,Single,Student,No Income,Post Graduate,4,Swiggy,Takeaway,Anytime (Mon-Sun),Lunch,Non Veg foods (Lunch / Dinner),Agree,300,16,22,Tier 1
25,Male,Married,Employee,More than 50000,Ph.D,4,Swiggy,Fine Dining,Anytime (Mon-Sun),Lunch,Non Veg foods (Lunch / Dinner),,3000,15,2,Tier 1
22,Female,Single,Student,10001 to 25000,Post Graduate,5,Swiggy,Casual Dining,Weekend (Sat & Sun),Dinner,Veg foods (Breakfast / Lunch / Dinner),Agree,800,15,12,Tier 1
22,Female,Single,Student,No Income,Post Graduate,2,Swiggy,Quick Bites,Weekend (Sat & Sun),,Veg foods (Breakfast / Lunch / Dinner),Strongly agree,,19,30,Tier 2
25,Male,Single,Student,10001 to 25000,Post Graduate,3,ONDC,Quick Bites,Anytime (Mon-Sun),Lunch,Non Veg foods (Lunch / Dinner),Agree,500,18,30,Tier 1
,Male,Single,Student,No Income,Post Graduate,5,Zomato,Casual Dining,Anytime (Mon-Sun),Lunch,Veg foods (Breakfast / Lunch / Dinner),Strongly agree,600,17,24,Tier 2
32,Female,Prefer not to say,home maker,No Income,,5,Swiggy,Casual Dining,Weekdays (Mon-Fri),Breakfast,Non Veg foods (Lunch / Dinner),Agree,450,9,9,Tier 2
23,Female,Single,Student,No Income,Post Graduate,3,Zomato,Quick Bites,,Snacks,Non Veg foods (Lunch / Dinner),Agree,400,17,11,Tier 2
23,Female,Single,Student,No Income,Post Graduate,4,Zomato,Cafe,Weekend (Sat & Sun),Breakfast,Non Veg foods (Lunch / Dinner),Agree,400,11,6,Tier 1
30,Male,Married,Self Employeed,More than 50000,Uneducated,4,ONDC,Casual Dining,Weekdays (Mon-Fri),Lunch,Veg foods (Breakfast / Lunch / Dinner),Agree,500,13,12,Tier 1
23,Male,Single,Student,No Income,,3,Swiggy,Casual Dining,Weekend (Sat & Sun),Dinner,Non Veg foods (Lunch / Dinner),Agree,900,14,18,Tier 3
23,Male,Single,Student,No Income,Post Graduate,4,Zomato,"Casual Dining, Bar",Anytime (Mon-Sun),Lunch,Veg foods (Breakfast / Lunch / Dinner),Agree,1100,15,26,Tier 1
,Female,Single,Student,No Income,Post Graduate,5,Zomato,"Bar, Casual Dining",Anytime (Mon-Sun),Snacks,Non Veg foods (Lunch / Dinner),Agree,1100,8,29,Tier 1
22,Male,Single,Student,No Income,Graduate,5,Swiggy,"Casual Dining, Bar",Anytime (Mon-Sun),Lunch,Non Veg foods (Lunch / Dinner),Agree,1000,19,4,Tier 2
27,Female,Married,Self Employeed,10001 to 25000,Post Graduate,2,Zomato,Desert Parlor,Anytime (Mon-Sun),,Non Veg foods (Lunch / Dinner),Strongly agree,200,12,10,Tier 1
24,Female,Single,Student,,Post Graduate,3,Swiggy,Casual Dining,Anytime (Mon-Sun),Dinner,Non Veg foods (Lunch / Dinner),Strongly agree,1000,13,5,Tier 1
23,Male,Single,Student,No Income,,2,Swiggy,casual dining,Weekend (Sat & Sun),Dinner,Non Veg foods (Lunch / Dinner),Neutral,400,9,30,Tier 1
23,Female,Single,Student,No Income,Graduate,3,Swiggy,bar,Anytime (Mon-Sun),Lunch,Non Veg foods (Lunch / Dinner),Agree,1600,13,,Tier 1
22,Female,Single,Student,10001 to 25000,Post Graduate,5,Swiggy,Takeaway,Weekend (Sat & Sun),Dinner,Veg foods (Breakfast / Lunch / Dinner),Agree,500,9,7,Tier 2
23,Female,Single,Student,No Income,Graduate,5,Zomato,Quick Bites,Weekdays (Mon-Fri),Lunch,Veg foods (Breakfast / Lunch / Dinner),Strongly agree,300,16,4,Tier 2
23,Female,Single,Student,No Income,Post Graduate,2,Swiggy,Quick Bites,Anytime (Mon-Sun),Lunch,Non Veg foods (Lunch / Dinner),Neutral,400,22,8,Tier 1
24,Male,Single,Student,No Income,Post Graduate,3,Swiggy,Takeaway,Weekend (Sat & Sun),Snacks,Non Veg foods (Lunch / Dinner),Agree,700,18,8,Tier 2
25,Male,Single,Student,No Income,Post Graduate,2,Zomato,Cafe,Anytime (Mon-Sun),Lunch,Non Veg foods (Lunch / Dinner),,150,16,30,Tier 1
22,Male,Single,Student,No Income,Post Graduate,,Zomato,Quick Bites,Weekend (Sat & Sun),Lunch,Non Veg foods (Lunch / Dinner),Agree,300,21,30,Tier 1
28,Female,Married,Student,No Income,Graduate,2,Zomato,Quick Bites,Anytime (Mon-Sun),Lunch,Veg foods (Breakfast / Lunch / Dinner),Strongly agree,100,16,9,Tier 3
22,Female,Single,Student,No Income,Post Graduate,,Zomato,"Bar, Casual Dining",Anytime (Mon-Sun),Lunch,Non Veg foods (Lunch / Dinner),Agree,1400,17,5,Tier 2
,Female,Single,Student,No Income,Graduate,3,Zomato,Bar,Weekend (Sat & Sun),Lunch,Non Veg foods (Lunch / Dinner),Strongly agree,1300,16,20,Tier 3
31,Male,Married,Employee,More than 50000,Ph.D,5,Swiggy,Takeaway,Weekend (Sat & Sun),Dinner,Non Veg foods (Lunch / Dinner),Strongly agree,150,20,16,Tier 2
25,Male,Single,Student,No Income,Post Graduate,4,Swiggy,Cafe,Anytime (Mon-Sun),Snacks,Veg foods (Breakfast / Lunch / Dinner),Strongly agree,250,16,7,Tier 1
23,Male,Single,Student,No Income,Post Graduate,5,Swiggy,Quick Bites,Weekend (Sat & Sun),Lunch,Non Veg foods (Lunch / Dinner),Strongly agree,400,13,22,Tier 2
22,Male,Single,Student,No Income,Post Graduate,3,Swiggy,,Anytime (Mon-Sun),Lunch,Non Veg foods (Lunch / Dinner),Agree,500,22,30,Tier 1
23,Male,Single,Student,25001 to 50000,Post Graduate,1,ONDC,casual dining,Weekend (Sat & Sun),Lunch,Non Veg foods (Lunch / Dinner),Neutral,300,17,9,Tier 3
23,Male,,Student,No Income,Graduate,4,Swiggy,Casual Dining,Weekend (Sat & Sun),Lunch,Non Veg foods (Lunch / Dinner),Strongly agree,600,10,7,Tier 2
23,Female,Single,Student,No Income,Post Graduate,2,Zomato,Quick Bites,Anytime (Mon-Sun),Lunch,Non Veg foods (Lunch / Dinner),Strongly agree,250,16,4,Tier 3
25,Male,,Student,No Income,Post Graduate,6,Swiggy,Quick Bites,Weekend (Sat & Sun),Dinner,Non Veg foods (Lunch / Dinner),Agree,250,12,7,Tier 3
24,Male,Single,Employee,10001 to 25000,Graduate,4,Zomato,Quick Bites,Anytime (Mon-Sun),Lunch,Non Veg foods (Lunch / Dinner),Neutral,200,11,4,Tier 2
23,Female,Single,Student,No Income,Post Graduate,4,Swiggy,Casual Dining,Weekend (Sat & Sun),Dinner,Non Veg foods (Lunch / Dinner),Strongly agree,1000,18,30,Tier 2
23,Female,Single,Student,No Income,Post Graduate,4,Swiggy,Casual Dining,Weekend (Sat & Sun),Dinner,Non Veg foods (Lunch / Dinner),Strongly agree,600,13,28,Tier 1
24,Female,Married,Employee,More than 50000,Ph.D,4,Swiggy,Desert Parlor,Weekend (Sat & Sun),Dinner,,Strongly agree,300,11,30,Tier 2
22,Male,Single,Student,No Income,Graduate,4,Zomato,Takeaway,Anytime (Mon-Sun),Lunch,Non Veg foods (Lunch / Dinner),Disagree,600,12,1,Tier 2
24,Female,Single,Student,10001 to 25000,Post Graduate,3,ONDC,Quick Bites,Anytime (Mon-Sun),Dinner,Non Veg foods (Lunch / Dinner),Agree,500,14,30,Tier 1
25,Female,Single,Student,No Income,Post Graduate,3,ONDC,Quick Bites,Weekend (Sat & Sun),Dinner,Non Veg foods (Lunch / Dinner),Agree,200,11,16,Tier 2
23,Male,Single,Student,No Income,Post Graduate,2,Swiggy,Bar,Anytime (Mon-Sun),,Veg foods (Breakfast / Lunch / Dinner),Agree,,12,30,Tier 2
26,Male,Single,Student,No Income,Post Graduate,4,Zomato,Quick Bites,Anytime (Mon-Sun),Dinner,Veg foods (Breakfast / Lunch / Dinner),Strongly agree,500,,30,Tier 1
24,Female,Single,Student,25001 to 50000,Post Graduate,3,Swiggy,Quick Bites,Anytime (Mon-Sun),Dinner,Non Veg foods (Lunch / Dinner),Agree,250,9,10,Tier 1
26,Male,Single,Student,No Income,Post Graduate,4,Zomato,Desert Parlor,Anytime (Mon-Sun),Lunch,Non Veg foods (Lunch / Dinner),Agree,150,14,17,Tier 3
21,Male,Single,Student,No Income,Graduate,4,Swiggy,Quick Bites,Weekend (Sat & Sun),Dinner,Non Veg foods (Lunch / Dinner),Agree,250,15,30,Tier 1
22,Female,Single,Student,No Income,Post Graduate,3,Swiggy,Quick Bites,Weekend (Sat & Sun),Lunch,Non Veg foods (Lunch / Dinner),Strongly agree,250,13,22,Tier 1
24,Male,Single,Student,No Income,Post Graduate,5,Zomato,Takeaway,Anytime (Mon-Sun),Snacks,Veg foods (Breakfast / Lunch / Dinner),Agree,300,15,18,Tier 3
24,Male,,Student,10001 to 25000,,4,Swiggy,Quick Bites,Anytime (Mon-Sun),Lunch,Non Veg foods (Lunch / Dinner),,400,,5,Tier 1
23,Female,Single,Student,No Income,Post Graduate,3,ONDC,Quick Bites,Weekend (Sat & Sun),Dinner,Non Veg foods (Lunch / Dinner),Neutral,400,17,23,Tier 1
23,Male,Single,Student,No Income,Post Graduate,3,Swiggy,Cafe,Weekend (Sat & Sun),Lunch,Veg foods (Breakfast / Lunch / Dinner),Neutral,550,15,30,Tier 2
22,Male,Single,Student,No Income,Post Graduate,3,Zomato,Takeaway,Weekend (Sat & Sun),Breakfast,Non Veg foods (Lunch / Dinner),Strongly agree,300,21,14,
23,Male,Single,Student,No Income,Post Graduate,3,Swiggy,Bar,Weekend (Sat & Sun),Dinner,Veg foods (Breakfast / Lunch / Dinner),Strongly agree,600,12,30,Tier 3
24,Female,Single,Student,,Post Graduate,4,Swiggy,Cafe,Anytime (Mon-Sun),Lunch,Non Veg foods (Lunch / Dinner),Strongly agree,600,17,30,Tier 2
24,Male,Single,Student,No Income,Post Graduate,5,Swiggy,Desert Parlor,Anytime (Mon-Sun),Snacks,Veg foods (Breakfast / Lunch / Dinner),Agree,350,17,15,Tier 3
25,Male,Single,Student,No Income,Graduate,1,Swiggy,Quick Bites,Anytime (Mon-Sun),Dinner,Non Veg foods (Lunch / Dinner),Agree,300,17,30,Tier 1
25,Male,Single,Student,No Income,Post Graduate,5,Swiggy,Casual Dining,Anytime (Mon-Sun),Lunch,Veg foods (Breakfast / Lunch / Dinner),Strongly agree,750,0,,Tier 1
28,Male,Married,Self Employeed,10001 to 25000,,2,Zomato,Beverage Shop,Anytime (Mon-Sun),Breakfast,Non Veg foods (Lunch / Dinner),Disagree,200,18,7,Tier 3
27,Female,Prefer not to say,Employee,25001 to 50000,Post Graduate,5,Zomato,Quick Bites,Weekdays (Mon-Fri),Lunch,Non Veg foods (Lunch / Dinner),Agree,350,8,5,Tier 2
26,Male,Single,Self Employeed,10001 to 25000,Ph.D,1,Swiggy,Quick Bites,Weekend (Sat & Sun),Lunch,Non Veg foods (Lunch / Dinner),Agree,300,13,2,Tier 3
22,Male,,Student,No Income,Post Graduate,2,Zomato,Quick Bites,Weekdays (Mon-Fri),Dinner,Non Veg foods (Lunch / Dinner),Agree,200,9,30,Tier 1
24,Female,Single,Student,No Income,Post Graduate,3,Zomato,Casual Dining,Anytime (Mon-Sun),Breakfast,Non Veg foods (Lunch / Dinner),Strongly agree,500,0,30,Tier 1
23,Male,Single,Student,No Income,Post Graduate,1,Zomato,Quick Bites,Weekend (Sat & Sun),Lunch,Non Veg foods (Lunch / Dinner),Neutral,150,17,2,Tier 3
25,Male,Single,Student,No Income,Graduate,1,Swiggy,Casual Dining,Anytime (Mon-Sun),Dinner,Non Veg foods (Lunch / Dinner),Agree,500,9,13,Tier 3
23,Female,Single,Student,No Income,Graduate,5,Swiggy,Casual Dining,Weekdays (Mon-Fri),Lunch,Veg foods (Breakfast / Lunch / Dinner),Strongly agree,400,5,30,Tier 1
23,Female,,Student,No Income,Graduate,5,Swiggy,Casual Dining,Weekdays (Mon-Fri),Lunch,Veg foods (Breakfast / Lunch / Dinner),Strongly agree,400,,19,Tier 2
26,Male,Married,Employee,25001 to 50000,Graduate,5,ONDC,Quick Bites,Weekend (Sat & Sun),Lunch,Non Veg foods (Lunch / Dinner),Agree,300,15,30,Tier 2
32,Female,Married,home maker,No Income,Uneducated,3,Swiggy,Casual Dining,Anytime (Mon-Sun),Dinner,,Strongly disagree,600,10,3,Tier 3
24,Female,Single,Student,10001 to 25000,Post Graduate,3,Swiggy,"Casual Dining, Bar",Anytime (Mon-Sun),Dinner,,Agree,800,11,30,Tier 1
23,Male,Single,Student,No Income,Post Graduate,2,Zomato,Takeaway,Weekend (Sat & Sun),Breakfast,Veg foods (Breakfast / Lunch / Dinner),Strongly agree,350,20,6,Tier 2
22,Female,Single,Employee,10001 to 25000,Graduate,3,Swiggy,Casual Dining,Weekend (Sat & Sun),Lunch,Non Veg foods (Lunch / Dinner),Strongly agree,900,17,30,Tier 1
24,Female,Single,Student,No Income,Ph.D,3,Swiggy,Quick Bites,Anytime (Mon-Sun),Lunch,Non Veg foods (Lunch / Dinner),Agree,300,18,23,Tier 2
26,Male,Single,Employee,25001 to 50000,Graduate,2,Zomato,Casual Dining,Anytime (Mon-Sun),Lunch,Non Veg foods (Lunch / Dinner),Agree,900,17,13,Tier 1
28,Male,Married,Employee,More than 50000,Graduate,3,Swiggy,Quick Bites,Anytime (Mon-Sun),Lunch,Veg foods (Breakfast / Lunch / Dinner),,,17,30,Tier 1
26,Male,Single,Employee,More than 50000,Post Graduate,2,ONDC,Quick Bites,Weekend (Sat & Sun),Dinner,Non Veg foods (Lunch / Dinner),Agree,250,19,1,Tier 1
25,Male,Single,Student,No Income,Post Graduate,1,Swiggy,Quick Bites,Weekend (Sat & Sun),Dinner,,Strongly agree,300,16,20,Tier 1
25,Male,Single,Employee,Below Rs.10000,Graduate,2,Swiggy,Quick Bites,Anytime (Mon-Sun),Lunch,Non Veg foods (Lunch / Dinner),Agree,350,21,30,Tier 1
18,Male,Single,Student,No Income,Graduate,5,Swiggy,Casual Dining,Anytime (Mon-Sun),Snacks,Non Veg foods (Lunch / Dinner),Agree,650,11,7,Tier 1
,Male,Single,Student,No Income,Post Graduate,4,Swiggy,Casual Dining,Anytime (Mon-Sun),Lunch,Non Veg foods (Lunch / Dinner),Strongly disagree,700,17,6,Tier 1
25,Male,Single,Student,No Income,Post Graduate,1,Swiggy,Takeaway,Weekend (Sat & Sun),Dinner,Non Veg foods (Lunch / Dinner),Strongly agree,600,14,30,Tier 2
25,Male,Single,Student,Below Rs.10000,Post Graduate,2,Swiggy,Quick Bites,Weekend (Sat & Sun),Dinner,Non Veg foods (Lunch / Dinner),Strongly agree,200,13,9,Tier 2
23,Female,Single,Student,No Income,Graduate,5,Swiggy,Quick Bites,Weekdays (Mon-Fri),Lunch,Veg foods (Breakfast / Lunch / Dinner),Strongly agree,400,8,30,Tier 3
23,Male,Single,Employee,10001 to 25000,Post Graduate,2,ONDC,Casual Dining,Anytime (Mon-Sun),Lunch,Veg foods (Breakfast / Lunch / Dinner),Agree,800,20,30,Tier 1
25,Female,Married,Employee,25001 to 50000,Graduate,4,Swiggy,Quick Bites,Anytime (Mon-Sun),Dinner,Non Veg foods (Lunch / Dinner),Disagree,200,18,30,Tier 1
31,Female,Married,home maker,No Income,School,5,Swiggy,Quick Bites,Anytime (Mon-Sun),Breakfast,Non Veg foods (Lunch / Dinner),Agree,300,11,15,Tier 2
24,Male,Prefer not to say,Self Employeed,More than 50000,Ph.D,2,Zomato,Quick Bites,Anytime (Mon-Sun),Lunch,Non Veg foods (Lunch / Dinner),Disagree,300,16,18,Tier 2
32,,Married,Employee,25001 to 50000,Graduate,5,Swiggy,Quick Bites,Anytime (Mon-Sun),Breakfast,Non Veg foods (Lunch / Dinner),Strongly agree,150,20,22,Tier 1
25,Male,Single,Employee,25001 to 50000,Graduate,3,Swiggy,Casual Dining,Anytime (Mon-Sun),Breakfast,Non Veg foods (Lunch / Dinner),Agree,600,18,4,Tier 2
27,Female,Married,Self Employeed,More than 50000,Graduate,5,Swiggy,Quick Bites,Anytime (Mon-Sun),Lunch,Non Veg foods (Lunch / Dinner),Disagree,250,21,15,Tier 3
26,Male,Single,Self Employeed,25001 to 50000,Graduate,3,Swiggy,Quick Bites,Weekdays (Mon-Fri),Lunch,Non Veg foods (Lunch / Dinner),Agree,250,13,26,Tier 2
26,Female,Single,Self Employeed,25001 to 50000,Post Graduate,3,Swiggy,Casual Dining,Anytime (Mon-Sun),Lunch,Non Veg foods (Lunch / Dinner),Agree,1100,10,12,Tier 2
32,Male,Married,Employee,More than 50000,Ph.D,5,Swiggy,Casual Dining,Anytime (Mon-Sun),Lunch,Non Veg foods (Lunch / Dinner),Agree,600,21,3,Tier 1
24,Male,Married,Self Employeed,More than 50000,Ph.D,6,ONDC,Quick Bites,Anytime (Mon-Sun),Dinner,Veg foods (Breakfast / Lunch / Dinner),Disagree,200,14,30,Tier 1
27,Female,Married,Self Employeed,25001 to 50000,Graduate,3,Swiggy,Casual Dining,Anytime (Mon-Sun),Breakfast,Non Veg foods (Lunch / Dinner),Agree,,8,13,Tier 2
23,Male,Single,Student,No Income,Post Graduate,3,Swiggy,,Weekend (Sat & Sun),Dinner,Non Veg foods (Lunch / Dinner),Agree,650,19,15,Tier 1
25,Male,Single,Student,No Income,Post Graduate,4,Swiggy,casual dining,Anytime (Mon-Sun),Lunch,Non Veg foods (Lunch / Dinner),Strongly agree,300,13,12,Tier 1
23,Male,Single,Student,No Income,Post Graduate,3,Swiggy,Casual Dining,Weekend (Sat & Sun),Dinner,Non Veg foods (Lunch / Dinner),Agree,500,,30,Tier 2
23,Female,Single,Student,No Income,Post Graduate,4,Swiggy,Takeaway,Weekend (Sat & Sun),Dinner,Non Veg foods (Lunch / Dinner),Strongly agree,300,11,13,Tier 1
28,Male,Married,Employee,More than 50000,,3,Swiggy,Casual Dining,Anytime (Mon-Sun),Snacks,Non Veg foods (Lunch / Dinner),Agree,400,14,19,Tier 3
32,Female,Married,Employee,More than 50000,Graduate,1,Swiggy,Casual Dining,Anytime (Mon-Sun),Breakfast,Non Veg foods (Lunch / Dinner),Agree,1400,20,11,Tier 3
23,Male,Single,Student,No Income,Post Graduate,2,Zomato,Quick Bites,Anytime (Mon-Sun),Breakfast,Non Veg foods (Lunch / Dinner),Agree,450,9,11,Tier 1
19,Male,Single,Student,No Income,Graduate,2,Zomato,Takeaway,Anytime (Mon-Sun),Snacks,Non Veg foods (Lunch / Dinner),Agree,150,15,22,Tier 1
19,Female,Single,Student,No Income,Graduate,4,ONDC,Desert Parlor,Anytime (Mon-Sun),Dinner,Non Veg foods (Lunch / Dinner),Strongly agree,200,11,1,Tier 1
27,,Married,Employee,25001 to 50000,Post Graduate,2,Swiggy,Takeaway,Anytime (Mon-Sun),Lunch,Veg foods (Breakfast / Lunch / Dinner),Agree,400,16,12,Tier 2
25,Male,Single,Self Employeed,25001 to 50000,Graduate,3,Swiggy,Quick Bites,Anytime (Mon-Sun),Dinner,Non Veg foods (Lunch / Dinner),Agree,300,9,30,Tier 3
33,Male,Married,Employee,More than 50000,Ph.D,5,Zomato,Quick Bites,Anytime (Mon-Sun),Snacks,Non Veg foods (Lunch / Dinner),Agree,350,9,30,Tier 3
26,Female,Single,Employee,More than 50000,Graduate,3,Swiggy,Quick Bites,Anytime (Mon-Sun),Breakfast,Non Veg foods (Lunch / Dinner),Agree,500,12,3,Tier 3
22,Female,Single,Student,Below Rs.10000,Post Graduate,,Swiggy,Desert Parlor,Weekend (Sat & Sun),Lunch,Non Veg foods (Lunch / Dinner),Strongly agree,300,17,11,Tier 2
23,Male,Single,Student,No Income,Post Graduate,3,Swiggy,Quick Bites,Anytime (Mon-Sun),Lunch,Veg foods (Breakfast / Lunch / Dinner),Agree,300,19,13,Tier 2
22,Female,Single,Student,No Income,Graduate,3,ONDC,Quick Bites,Anytime (Mon-Sun),Snacks,Veg foods (Breakfast / Lunch / Dinner),Strongly agree,300,18,5,Tier 1
25,Male,Married,,25001 to 50000,Graduate,2,Swiggy,Quick Bites,Anytime (Mon-Sun),Breakfast,Non Veg foods (Lunch / Dinner),Disagree,150,15,21,Tier 3
30,Female,Married,home maker,No Income,School,5,Swiggy,Desert Parlor,Weekdays (Mon-Fri),Snacks,Non Veg foods (Lunch / Dinner),Agree,400,16,15,Tier 1
24,Male,Single,Student,No Income,Post Graduate,3,Zomato,Casual Dining,Anytime (Mon-Sun),Snacks,Non Veg foods (Lunch / Dinner),Disagree,450,8,14,Tier 2
25,Male,Single,Employee,10001 to 25000,Post Graduate,3,Swiggy,Quick Bites,Anytime (Mon-Sun),Breakfast,Non Veg foods (Lunch / Dinner),Agree,250,19,30,Tier 1
23,Male,Single,Student,More than 50000,Post Graduate,3,Swiggy,Takeaway,Anytime (Mon-Sun),Snacks,Non Veg foods (Lunch / Dinner),Strongly agree,200,13,5,Tier 1
24,Female,Single,Student,No Income,Post Graduate,4,ONDC,Quick Bites,Anytime (Mon-Sun),Lunch,Veg foods (Breakfast / Lunch / Dinner),Agree,300,6,9,Tier 2
32,Male,Married,,10001 to 25000,Graduate,4,Zomato,Quick Bites,Weekend (Sat & Sun),Snacks,Non Veg foods (Lunch / Dinner),Agree,300,16,16,Tier 1
,Male,Single,Student,No Income,Post Graduate,4,Swiggy,Desert Parlor,Anytime (Mon-Sun),Dinner,Non Veg foods (Lunch / Dinner),Neutral,200,15,8,Tier 1
23,Male,Single,Student,More than 50000,,3,ONDC,Quick Bites,Anytime (Mon-Sun),,Non Veg foods (Lunch / Dinner),Strongly agree,200,17,0,Tier 3
23,Female,Single,Student,No Income,Post Graduate,4,Zomato,Casual Dining,Weekend (Sat & Sun),Dinner,Non Veg foods (Lunch / Dinner),Strongly agree,600,21,6,Tier 1
