"Age","Gender","Marital_Status","Occupation","Monthly_Income","Education","Family_Size","Medium","Restaurant_Type","Order_Time","Meal","Preference","Ease_Convenient","Avg_Cost","Order_Hour","Days_Since_Prior","Cities","Income_Level","Time_Period","Cost_Category","Order_Frequency","City_Tier","High_Demand_Area"
28,"Female","Single","Employee","25001 to 50000","Post Graduate",2,"ONDC","Casual Dining","Anytime (MonSun)","Dinner","Veg foods (Breakfast / Lunch / Dinner)","Neutral",600,10,30,"Tier 1",4,"Morning","High","Infrequent",1,"1"
23,"Female","Single","Student","No Income","Graduate",3,"Zomato","Cafe","Anytime (MonSun)","Lunch","Non Veg foods (Lunch / Dinner)","Agree",550,11,6,"Tier 1",1,"Morning","High","Frequent",1,"1"
25,"Male","Single","Student","No Income","Graduate",4,"Zomato","Casual Dining","Anytime (MonSun)","Lunch","Non Veg foods (Lunch / Dinner)","Strongly agree",1000,15,5,"Tier 3",1,"Afternoon","Premium","Very_Frequent",3,"1"
21,"Female","Single","Student","Below Rs.10000","Post Graduate",1,"Zomato","Cafe","Anytime (MonSun)","Dinner","Veg foods (Breakfast / Lunch / Dinner)","Agree",400,13,30,"Tier 3",2,"Afternoon","Medium","Infrequent",3,"0"
24,"Male","Single","Student","No Income","Post Graduate",3,"Swiggy","Quick Bites","Weekend (Sat & Sun)","Dinner","Non Veg foods (Lunch / Dinner)","Agree",200,12,30,"Tier 1",1,"Afternoon","Low","Infrequent",1,"0"
22,"Male","Single","Student","No Income","Post Graduate",4,"Swiggy","Casual Dining","Anytime (MonSun)","Snacks","Non Veg foods (Lunch / Dinner)","Strongly agree",2500,21,21,"Tier 3",1,"Night","Premium","Infrequent",3,"0"
22,"Female","Single","Student","No Income","Graduate",4,"Swiggy","Takeaway","Weekdays (MonFri)","Dinner","Non Veg foods (Lunch / Dinner)","Agree",800,16,30,"Tier 3",1,"Afternoon","Premium","Infrequent",3,"0"
23,"Male","Single","Student","No Income","Graduate",4,"Swiggy","Casual Dining","Weekdays (MonFri)","Lunch","Veg foods (Breakfast / Lunch / Dinner)","Agree",600,10,30,"Tier 2",1,"Morning","High","Infrequent",2,"1"
21,"Male","Single","Student","Below Rs.10000","Post Graduate",3,"Zomato","Casual Dining","Anytime (MonSun)","Breakfast","Non Veg foods (Lunch / Dinner)","Strongly agree",1400,18,0,"Tier 3",2,"Evening","Premium","Very_Frequent",3,"1"
25,"Male","Single","Student","No Income","Post Graduate",3,"Swiggy","Casual Dining","Anytime (MonSun)","Dinner","Veg foods (Breakfast / Lunch / Dinner)","Agree",1000,10,30,"Tier 1",1,"Morning","Premium","Infrequent",1,"1"
22,"Female","Single","Student","No Income","Post Graduate",5,"Swiggy","Casual Dining","Anytime (MonSun)","Lunch","Non Veg foods (Lunch / Dinner)","Agree",1000,17,4,"Tier 2",1,"Evening","Premium","Very_Frequent",2,"1"
22,"Male","Single","Student","No Income","Post Graduate",3,"Swiggy","Casual Dining","Anytime (MonSun)","Snacks","Non Veg foods (Lunch / Dinner)","Agree",1000,17,11,"Tier 1",1,"Evening","Premium","Moderate",1,"1"
23,"Female","Single","Employee","10001 to 25000","Graduate",3,"Swiggy","Takeaway","Weekend (Sat & Sun)","Snacks","Desert Parlor items (snacks)","Neutral",700,17,8,"Tier 1",3,"Evening","Premium","Frequent",1,"1"
22,"Male","Single","Student","No Income","Post Graduate",4,"Swiggy","Cafe","Weekend (Sat & Sun)","Snacks","Veg foods (Breakfast / Lunch / Dinner)","Strongly disagree",800,19,6,"Tier 1",1,"Evening","Premium","Frequent",1,"1"
22,"Female","Single","Employee","10001 to 25000","Graduate",5,"Swiggy","Fine Dining","Weekend (Sat & Sun)","Lunch","Non Veg foods (Lunch / Dinner)","Agree",3000,10,30,"Tier 1",3,"Morning","Premium","Infrequent",1,"1"
22,"Male","Single","Student","No Income","Post Graduate",4,"Swiggy","Takeaway","Anytime (MonSun)","Lunch","Non Veg foods (Lunch / Dinner)","Agree",300,16,22,"Tier 1",1,"Afternoon","Low","Infrequent",1,"0"
25,"Male","Married","Employee","More than 50000","Ph.D",4,"Swiggy","Fine Dining","Anytime (MonSun)","Lunch","Non Veg foods (Lunch / Dinner)","Agree",3000,15,2,"Tier 1",5,"Afternoon","Premium","Very_Frequent",1,"1"
22,"Female","Single","Student","10001 to 25000","Post Graduate",5,"Swiggy","Casual Dining","Weekend (Sat & Sun)","Dinner","Veg foods (Breakfast / Lunch / Dinner)","Agree",800,15,12,"Tier 1",3,"Afternoon","Premium","Moderate",1,"1"
22,"Female","Single","Student","No Income","Post Graduate",2,"Swiggy","Quick Bites","Weekend (Sat & Sun)","Snacks","Veg foods (Breakfast / Lunch / Dinner)","Strongly agree",400,19,30,"Tier 2",1,"Evening","Medium","Infrequent",2,"1"
25,"Male","Single","Student","10001 to 25000","Post Graduate",3,"ONDC","Quick Bites","Anytime (MonSun)","Lunch","Non Veg foods (Lunch / Dinner)","Agree",500,18,30,"Tier 1",3,"Evening","High","Infrequent",1,"1"
27,"Male","Single","Student","No Income","Post Graduate",5,"Zomato","Casual Dining","Anytime (MonSun)","Lunch","Veg foods (Breakfast / Lunch / Dinner)","Strongly agree",600,17,24,"Tier 2",1,"Evening","High","Infrequent",2,"1"
32,"Female","Prefer not to say","home maker","No Income","Graduate",5,"Swiggy","Casual Dining","Weekdays (MonFri)","Breakfast","Non Veg foods (Lunch / Dinner)","Agree",450,9,9,"Tier 2",1,"Morning","High","Frequent",2,"1"
23,"Female","Single","Student","No Income","Post Graduate",3,"Zomato","Quick Bites","Anytime (MonSun)","Snacks","Non Veg foods (Lunch / Dinner)","Agree",400,17,11,"Tier 2",1,"Evening","Medium","Moderate",2,"1"
23,"Female","Single","Student","No Income","Post Graduate",4,"Zomato","Cafe","Weekend (Sat & Sun)","Breakfast","Non Veg foods (Lunch / Dinner)","Agree",400,11,6,"Tier 1",1,"Morning","Medium","Frequent",1,"1"
30,"Male","Married","Self Employeed","More than 50000","Uneducated",4,"ONDC","Casual Dining","Weekdays (MonFri)","Lunch","Veg foods (Breakfast / Lunch / Dinner)","Agree",500,13,12,"Tier 1",5,"Afternoon","High","Moderate",1,"1"
23,"Male","Single","Student","No Income","Graduate",3,"Swiggy","Casual Dining","Weekend (Sat & Sun)","Dinner","Non Veg foods (Lunch / Dinner)","Agree",900,14,18,"Tier 3",1,"Afternoon","Premium","Moderate",3,"0"
23,"Male","Single","Student","No Income","Post Graduate",4,"Zomato","Casual Dining","Anytime (MonSun)","Lunch","Veg foods (Breakfast / Lunch / Dinner)","Agree",1100,15,26,"Tier 1",1,"Afternoon","Premium","Infrequent",1,"1"
27,"Female","Single","Student","No Income","Post Graduate",5,"Zomato","Bar","Anytime (MonSun)","Snacks","Non Veg foods (Lunch / Dinner)","Agree",1100,8,29,"Tier 1",1,"Morning","Premium","Infrequent",1,"1"
22,"Male","Single","Student","No Income","Graduate",5,"Swiggy","Casual Dining","Anytime (MonSun)","Lunch","Non Veg foods (Lunch / Dinner)","Agree",1000,19,4,"Tier 2",1,"Evening","Premium","Very_Frequent",2,"1"
27,"Female","Married","Self Employeed","10001 to 25000","Post Graduate",2,"Zomato","Desert Parlor","Anytime (MonSun)","Snacks","Non Veg foods (Lunch / Dinner)","Strongly agree",200,12,10,"Tier 1",3,"Afternoon","Low","Frequent",1,"1"
24,"Female","Single","Student","No Income","Post Graduate",3,"Swiggy","Casual Dining","Anytime (MonSun)","Dinner","Non Veg foods (Lunch / Dinner)","Strongly agree",1000,13,5,"Tier 1",1,"Afternoon","Premium","Very_Frequent",1,"1"
23,"Male","Single","Student","No Income","Graduate",2,"Swiggy","Casual Dining","Weekend (Sat & Sun)","Dinner","Non Veg foods (Lunch / Dinner)","Neutral",400,9,30,"Tier 1",1,"Morning","Medium","Infrequent",1,"1"
23,"Female","Single","Student","No Income","Graduate",3,"Swiggy","Bar","Anytime (MonSun)","Lunch","Non Veg foods (Lunch / Dinner)","Agree",1600,13,16,"Tier 1",1,"Afternoon","Premium","Moderate",1,"1"
22,"Female","Single","Student","10001 to 25000","Post Graduate",5,"Swiggy","Takeaway","Weekend (Sat & Sun)","Dinner","Veg foods (Breakfast / Lunch / Dinner)","Agree",500,9,7,"Tier 2",3,"Morning","High","Frequent",2,"1"
23,"Female","Single","Student","No Income","Graduate",5,"Zomato","Quick Bites","Weekdays (MonFri)","Lunch","Veg foods (Breakfast / Lunch / Dinner)","Strongly agree",300,16,4,"Tier 2",1,"Afternoon","Low","Very_Frequent",2,"1"
23,"Female","Single","Student","No Income","Post Graduate",2,"Swiggy","Quick Bites","Anytime (MonSun)","Lunch","Non Veg foods (Lunch / Dinner)","Neutral",400,22,8,"Tier 1",1,"Night","Medium","Frequent",1,"1"
24,"Male","Single","Student","No Income","Post Graduate",3,"Swiggy","Takeaway","Weekend (Sat & Sun)","Snacks","Non Veg foods (Lunch / Dinner)","Agree",700,18,8,"Tier 2",1,"Evening","Premium","Frequent",2,"1"
25,"Male","Single","Student","No Income","Post Graduate",2,"Zomato","Cafe","Anytime (MonSun)","Lunch","Non Veg foods (Lunch / Dinner)","Agree",150,16,30,"Tier 1",1,"Afternoon","Low","Infrequent",1,"0"
22,"Male","Single","Student","No Income","Post Graduate",4,"Zomato","Quick Bites","Weekend (Sat & Sun)","Lunch","Non Veg foods (Lunch / Dinner)","Agree",300,21,30,"Tier 1",1,"Night","Low","Infrequent",1,"0"
28,"Female","Married","Student","No Income","Graduate",2,"Zomato","Quick Bites","Anytime (MonSun)","Lunch","Veg foods (Breakfast / Lunch / Dinner)","Strongly agree",100,16,9,"Tier 3",1,"Afternoon","Low","Frequent",3,"0"
22,"Female","Single","Student","No Income","Post Graduate",4,"Zomato","Bar","Anytime (MonSun)","Lunch","Non Veg foods (Lunch / Dinner)","Agree",1400,17,5,"Tier 2",1,"Evening","Premium","Very_Frequent",2,"1"
27,"Female","Single","Student","No Income","Graduate",3,"Zomato","Bar","Weekend (Sat & Sun)","Lunch","Non Veg foods (Lunch / Dinner)","Strongly agree",1300,16,20,"Tier 3",1,"Afternoon","Premium","Moderate",3,"0"
31,"Male","Married","Employee","More than 50000","Ph.D",5,"Swiggy","Takeaway","Weekend (Sat & Sun)","Dinner","Non Veg foods (Lunch / Dinner)","Strongly agree",150,20,16,"Tier 2",5,"Evening","Low","Moderate",2,"0"
25,"Male","Single","Student","No Income","Post Graduate",4,"Swiggy","Cafe","Anytime (MonSun)","Snacks","Veg foods (Breakfast / Lunch / Dinner)","Strongly agree",250,16,7,"Tier 1",1,"Afternoon","Low","Frequent",1,"1"
23,"Male","Single","Student","No Income","Post Graduate",5,"Swiggy","Quick Bites","Weekend (Sat & Sun)","Lunch","Non Veg foods (Lunch / Dinner)","Strongly agree",400,13,22,"Tier 2",1,"Afternoon","Medium","Infrequent",2,"1"
22,"Male","Single","Student","No Income","Post Graduate",3,"Swiggy","Quick Bites","Anytime (MonSun)","Lunch","Non Veg foods (Lunch / Dinner)","Agree",500,22,30,"Tier 1",1,"Night","High","Infrequent",1,"1"
23,"Male","Single","Student","25001 to 50000","Post Graduate",1,"ONDC","Casual Dining","Weekend (Sat & Sun)","Lunch","Non Veg foods (Lunch / Dinner)","Neutral",300,17,9,"Tier 3",4,"Evening","Low","Frequent",3,"0"
23,"Male","Single","Student","No Income","Graduate",4,"Swiggy","Casual Dining","Weekend (Sat & Sun)","Lunch","Non Veg foods (Lunch / Dinner)","Strongly agree",600,10,7,"Tier 2",1,"Morning","High","Frequent",2,"1"
23,"Female","Single","Student","No Income","Post Graduate",2,"Zomato","Quick Bites","Anytime (MonSun)","Lunch","Non Veg foods (Lunch / Dinner)","Strongly agree",250,16,4,"Tier 3",1,"Afternoon","Low","Very_Frequent",3,"0"
25,"Male","Single","Student","No Income","Post Graduate",6,"Swiggy","Quick Bites","Weekend (Sat & Sun)","Dinner","Non Veg foods (Lunch / Dinner)","Agree",250,12,7,"Tier 3",1,"Afternoon","Low","Frequent",3,"0"
24,"Male","Single","Employee","10001 to 25000","Graduate",4,"Zomato","Quick Bites","Anytime (MonSun)","Lunch","Non Veg foods (Lunch / Dinner)","Neutral",200,11,4,"Tier 2",3,"Morning","Low","Very_Frequent",2,"1"
23,"Female","Single","Student","No Income","Post Graduate",4,"Swiggy","Casual Dining","Weekend (Sat & Sun)","Dinner","Non Veg foods (Lunch / Dinner)","Strongly agree",1000,18,30,"Tier 2",1,"Evening","Premium","Infrequent",2,"1"
23,"Female","Single","Student","No Income","Post Graduate",4,"Swiggy","Casual Dining","Weekend (Sat & Sun)","Dinner","Non Veg foods (Lunch / Dinner)","Strongly agree",600,13,28,"Tier 1",1,"Afternoon","High","Infrequent",1,"1"
24,"Female","Married","Employee","More than 50000","Ph.D",4,"Swiggy","Desert Parlor","Weekend (Sat & Sun)","Dinner","Non Veg foods (Lunch / Dinner)","Strongly agree",300,11,30,"Tier 2",5,"Morning","Low","Infrequent",2,"0"
22,"Male","Single","Student","No Income","Graduate",4,"Zomato","Takeaway","Anytime (MonSun)","Lunch","Non Veg foods (Lunch / Dinner)","Disagree",600,12,1,"Tier 2",1,"Afternoon","High","Very_Frequent",2,"1"
24,"Female","Single","Student","10001 to 25000","Post Graduate",3,"ONDC","Quick Bites","Anytime (MonSun)","Dinner","Non Veg foods (Lunch / Dinner)","Agree",500,14,30,"Tier 1",3,"Afternoon","High","Infrequent",1,"1"
25,"Female","Single","Student","No Income","Post Graduate",3,"ONDC","Quick Bites","Weekend (Sat & Sun)","Dinner","Non Veg foods (Lunch / Dinner)","Agree",200,11,16,"Tier 2",1,"Morning","Low","Moderate",2,"0"
23,"Male","Single","Student","No Income","Post Graduate",2,"Swiggy","Bar","Anytime (MonSun)","Snacks","Veg foods (Breakfast / Lunch / Dinner)","Agree",400,12,30,"Tier 2",1,"Afternoon","Medium","Infrequent",2,"1"
26,"Male","Single","Student","No Income","Post Graduate",4,"Zomato","Quick Bites","Anytime (MonSun)","Dinner","Veg foods (Breakfast / Lunch / Dinner)","Strongly agree",500,14,30,"Tier 1",1,"Afternoon","High","Infrequent",1,"1"
24,"Female","Single","Student","25001 to 50000","Post Graduate",3,"Swiggy","Quick Bites","Anytime (MonSun)","Dinner","Non Veg foods (Lunch / Dinner)","Agree",250,9,10,"Tier 1",4,"Morning","Low","Frequent",1,"1"
26,"Male","Single","Student","No Income","Post Graduate",4,"Zomato","Desert Parlor","Anytime (MonSun)","Lunch","Non Veg foods (Lunch / Dinner)","Agree",150,14,17,"Tier 3",1,"Afternoon","Low","Moderate",3,"0"
21,"Male","Single","Student","No Income","Graduate",4,"Swiggy","Quick Bites","Weekend (Sat & Sun)","Dinner","Non Veg foods (Lunch / Dinner)","Agree",250,15,30,"Tier 1",1,"Afternoon","Low","Infrequent",1,"0"
22,"Female","Single","Student","No Income","Post Graduate",3,"Swiggy","Quick Bites","Weekend (Sat & Sun)","Lunch","Non Veg foods (Lunch / Dinner)","Strongly agree",250,13,22,"Tier 1",1,"Afternoon","Low","Infrequent",1,"0"
24,"Male","Single","Student","No Income","Post Graduate",5,"Zomato","Takeaway","Anytime (MonSun)","Snacks","Veg foods (Breakfast / Lunch / Dinner)","Agree",300,15,18,"Tier 3",1,"Afternoon","Low","Moderate",3,"0"
24,"Male","Single","Student","10001 to 25000","Graduate",4,"Swiggy","Quick Bites","Anytime (MonSun)","Lunch","Non Veg foods (Lunch / Dinner)","Agree",400,14,5,"Tier 1",3,"Afternoon","Medium","Very_Frequent",1,"1"
23,"Female","Single","Student","No Income","Post Graduate",3,"ONDC","Quick Bites","Weekend (Sat & Sun)","Dinner","Non Veg foods (Lunch / Dinner)","Neutral",400,17,23,"Tier 1",1,"Evening","Medium","Infrequent",1,"1"
23,"Male","Single","Student","No Income","Post Graduate",3,"Swiggy","Cafe","Weekend (Sat & Sun)","Lunch","Veg foods (Breakfast / Lunch / Dinner)","Neutral",550,15,30,"Tier 2",1,"Afternoon","High","Infrequent",2,"1"
22,"Male","Single","Student","No Income","Post Graduate",3,"Zomato","Takeaway","Weekend (Sat & Sun)","Breakfast","Non Veg foods (Lunch / Dinner)","Strongly agree",300,21,14,"Tier 1",1,"Night","Low","Moderate",1,"1"
23,"Male","Single","Student","No Income","Post Graduate",3,"Swiggy","Bar","Weekend (Sat & Sun)","Dinner","Veg foods (Breakfast / Lunch / Dinner)","Strongly agree",600,12,30,"Tier 3",1,"Afternoon","High","Infrequent",3,"0"
24,"Female","Single","Student","No Income","Post Graduate",4,"Swiggy","Cafe","Anytime (MonSun)","Lunch","Non Veg foods (Lunch / Dinner)","Strongly agree",600,17,30,"Tier 2",1,"Evening","High","Infrequent",2,"1"
24,"Male","Single","Student","No Income","Post Graduate",5,"Swiggy","Desert Parlor","Anytime (MonSun)","Snacks","Veg foods (Breakfast / Lunch / Dinner)","Agree",350,17,15,"Tier 3",1,"Evening","Medium","Moderate",3,"0"
25,"Male","Single","Student","No Income","Graduate",1,"Swiggy","Quick Bites","Anytime (MonSun)","Dinner","Non Veg foods (Lunch / Dinner)","Agree",300,17,30,"Tier 1",1,"Evening","Low","Infrequent",1,"0"
25,"Male","Single","Student","No Income","Post Graduate",5,"Swiggy","Casual Dining","Anytime (MonSun)","Lunch","Veg foods (Breakfast / Lunch / Dinner)","Strongly agree",750,0,16,"Tier 1",1,"Night","Premium","Moderate",1,"1"
28,"Male","Married","Self Employeed","10001 to 25000","Graduate",2,"Zomato","Beverage Shop","Anytime (MonSun)","Breakfast","Non Veg foods (Lunch / Dinner)","Disagree",200,18,7,"Tier 3",3,"Evening","Low","Frequent",3,"0"
27,"Female","Prefer not to say","Employee","25001 to 50000","Post Graduate",5,"Zomato","Quick Bites","Weekdays (MonFri)","Lunch","Non Veg foods (Lunch / Dinner)","Agree",350,8,5,"Tier 2",4,"Morning","Medium","Very_Frequent",2,"1"
26,"Male","Single","Self Employeed","10001 to 25000","Ph.D",1,"Swiggy","Quick Bites","Weekend (Sat & Sun)","Lunch","Non Veg foods (Lunch / Dinner)","Agree",300,13,2,"Tier 3",3,"Afternoon","Low","Very_Frequent",3,"0"
22,"Male","Single","Student","No Income","Post Graduate",2,"Zomato","Quick Bites","Weekdays (MonFri)","Dinner","Non Veg foods (Lunch / Dinner)","Agree",200,9,30,"Tier 1",1,"Morning","Low","Infrequent",1,"0"
24,"Female","Single","Student","No Income","Post Graduate",3,"Zomato","Casual Dining","Anytime (MonSun)","Breakfast","Non Veg foods (Lunch / Dinner)","Strongly agree",500,0,30,"Tier 1",1,"Night","High","Infrequent",1,"1"
23,"Male","Single","Student","No Income","Post Graduate",1,"Zomato","Quick Bites","Weekend (Sat & Sun)","Lunch","Non Veg foods (Lunch / Dinner)","Neutral",150,17,2,"Tier 3",1,"Evening","Low","Very_Frequent",3,"0"
25,"Male","Single","Student","No Income","Graduate",1,"Swiggy","Casual Dining","Anytime (MonSun)","Dinner","Non Veg foods (Lunch / Dinner)","Agree",500,9,13,"Tier 3",1,"Morning","High","Moderate",3,"1"
23,"Female","Single","Student","No Income","Graduate",5,"Swiggy","Casual Dining","Weekdays (MonFri)","Lunch","Veg foods (Breakfast / Lunch / Dinner)","Strongly agree",400,5,30,"Tier 1",1,"Night","Medium","Infrequent",1,"1"
23,"Female","Single","Student","No Income","Graduate",5,"Swiggy","Casual Dining","Weekdays (MonFri)","Lunch","Veg foods (Breakfast / Lunch / Dinner)","Strongly agree",400,14,19,"Tier 2",1,"Afternoon","Medium","Moderate",2,"1"
26,"Male","Married","Employee","25001 to 50000","Graduate",5,"ONDC","Quick Bites","Weekend (Sat & Sun)","Lunch","Non Veg foods (Lunch / Dinner)","Agree",300,15,30,"Tier 2",4,"Afternoon","Low","Infrequent",2,"0"
32,"Female","Married","home maker","No Income","Uneducated",3,"Swiggy","Casual Dining","Anytime (MonSun)","Dinner","Non Veg foods (Lunch / Dinner)","Strongly disagree",600,10,3,"Tier 3",1,"Morning","High","Very_Frequent",3,"1"
24,"Female","Single","Student","10001 to 25000","Post Graduate",3,"Swiggy","Casual Dining","Anytime (MonSun)","Dinner","Non Veg foods (Lunch / Dinner)","Agree",800,11,30,"Tier 1",3,"Morning","Premium","Infrequent",1,"1"
23,"Male","Single","Student","No Income","Post Graduate",2,"Zomato","Takeaway","Weekend (Sat & Sun)","Breakfast","Veg foods (Breakfast / Lunch / Dinner)","Strongly agree",350,20,6,"Tier 2",1,"Evening","Medium","Frequent",2,"1"
22,"Female","Single","Employee","10001 to 25000","Graduate",3,"Swiggy","Casual Dining","Weekend (Sat & Sun)","Lunch","Non Veg foods (Lunch / Dinner)","Strongly agree",900,17,30,"Tier 1",3,"Evening","Premium","Infrequent",1,"1"
24,"Female","Single","Student","No Income","Ph.D",3,"Swiggy","Quick Bites","Anytime (MonSun)","Lunch","Non Veg foods (Lunch / Dinner)","Agree",300,18,23,"Tier 2",1,"Evening","Low","Infrequent",2,"0"
26,"Male","Single","Employee","25001 to 50000","Graduate",2,"Zomato","Casual Dining","Anytime (MonSun)","Lunch","Non Veg foods (Lunch / Dinner)","Agree",900,17,13,"Tier 1",4,"Evening","Premium","Moderate",1,"1"
28,"Male","Married","Employee","More than 50000","Graduate",3,"Swiggy","Quick Bites","Anytime (MonSun)","Lunch","Veg foods (Breakfast / Lunch / Dinner)","Agree",400,17,30,"Tier 1",5,"Evening","Medium","Infrequent",1,"1"
26,"Male","Single","Employee","More than 50000","Post Graduate",2,"ONDC","Quick Bites","Weekend (Sat & Sun)","Dinner","Non Veg foods (Lunch / Dinner)","Agree",250,19,1,"Tier 1",5,"Evening","Low","Very_Frequent",1,"1"
25,"Male","Single","Student","No Income","Post Graduate",1,"Swiggy","Quick Bites","Weekend (Sat & Sun)","Dinner","Non Veg foods (Lunch / Dinner)","Strongly agree",300,16,20,"Tier 1",1,"Afternoon","Low","Moderate",1,"0"
25,"Male","Single","Employee","Below Rs.10000","Graduate",2,"Swiggy","Quick Bites","Anytime (MonSun)","Lunch","Non Veg foods (Lunch / Dinner)","Agree",350,21,30,"Tier 1",2,"Night","Medium","Infrequent",1,"0"
18,"Male","Single","Student","No Income","Graduate",5,"Swiggy","Casual Dining","Anytime (MonSun)","Snacks","Non Veg foods (Lunch / Dinner)","Agree",650,11,7,"Tier 1",1,"Morning","High","Frequent",1,"1"
27,"Male","Single","Student","No Income","Post Graduate",4,"Swiggy","Casual Dining","Anytime (MonSun)","Lunch","Non Veg foods (Lunch / Dinner)","Strongly disagree",700,17,6,"Tier 1",1,"Evening","Premium","Frequent",1,"1"
25,"Male","Single","Student","No Income","Post Graduate",1,"Swiggy","Takeaway","Weekend (Sat & Sun)","Dinner","Non Veg foods (Lunch / Dinner)","Strongly agree",600,14,30,"Tier 2",1,"Afternoon","High","Infrequent",2,"1"
25,"Male","Single","Student","Below Rs.10000","Post Graduate",2,"Swiggy","Quick Bites","Weekend (Sat & Sun)","Dinner","Non Veg foods (Lunch / Dinner)","Strongly agree",200,13,9,"Tier 2",2,"Afternoon","Low","Frequent",2,"1"
23,"Female","Single","Student","No Income","Graduate",5,"Swiggy","Quick Bites","Weekdays (MonFri)","Lunch","Veg foods (Breakfast / Lunch / Dinner)","Strongly agree",400,8,30,"Tier 3",1,"Morning","Medium","Infrequent",3,"0"
23,"Male","Single","Employee","10001 to 25000","Post Graduate",2,"ONDC","Casual Dining","Anytime (MonSun)","Lunch","Veg foods (Breakfast / Lunch / Dinner)","Agree",800,20,30,"Tier 1",3,"Evening","Premium","Infrequent",1,"1"
25,"Female","Married","Employee","25001 to 50000","Graduate",4,"Swiggy","Quick Bites","Anytime (MonSun)","Dinner","Non Veg foods (Lunch / Dinner)","Disagree",200,18,30,"Tier 1",4,"Evening","Low","Infrequent",1,"0"
